id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
7620,0,1,0.000000,1.000000,1
7624,1,1,0.500000,0.500000,2
7625,41,7,0.854167,0.145833,48
7627,2,0,1.000000,0.000000,2
7629,832,316,0.724739,0.275261,1148
7631,49,2,0.960784,0.039216,51
7641,126,104,0.547826,0.452174,230
7642,2,0,1.000000,0.000000,2
7652,4,0,1.000000,0.000000,4
7653,3,4,0.428571,0.571429,7
7658,1,0,1.000000,0.000000,1
7660,0,3,0.000000,1.000000,3
7661,6,11,0.352941,0.647059,17
7662,13,5,0.722222,0.277778,18
7664,54,21,0.720000,0.280000,75
7665,8,6,0.571429,0.428571,14
7669,0,4,0.000000,1.000000,4
7676,10,8,0.555556,0.444444,18
7677,27,12,0.692308,0.307692,39
7679,4,3,0.571429,0.428571,7
7680,252,245,0.507042,0.492958,497
7687,13,28,0.317073,0.682927,41
7689,41,25,0.621212,0.378788,66
7690,2,0,1.000000,0.000000,2
7693,62,135,0.314721,0.685279,197
7699,59,16,0.786667,0.213333,75
7700,396,201,0.663317,0.336683,597
7701,20,8,0.714286,0.285714,28
7703,44,34,0.564103,0.435897,78
7706,13,0,1.000000,0.000000,13
7708,94,54,0.635135,0.364865,148
7710,216,103,0.677116,0.322884,319
7711,729,264,0.734139,0.265861,993
7712,4,10,0.285714,0.714286,14
7714,104,110,0.485981,0.514019,214
7715,10,28,0.263158,0.736842,38
7718,13,35,0.270833,0.729167,48
7724,1,1,0.500000,0.500000,2
7725,766,270,0.739382,0.260618,1036
7727,10,35,0.222222,0.777778,45
7729,41,9,0.820000,0.180000,50
7730,486,258,0.653226,0.346774,744
7731,2,2,0.500000,0.500000,4
7732,145,74,0.662100,0.337900,219
7737,58,15,0.794521,0.205479,73
7740,7,6,0.538462,0.461538,13
7745,62,77,0.446043,0.553957,139
7746,21,18,0.538462,0.461538,39
7750,4,1,0.800000,0.200000,5
7751,6,5,0.545455,0.454545,11
7752,1,12,0.076923,0.923077,13
7753,39,2,0.951220,0.048780,41
7758,43,23,0.651515,0.348485,66
7761,330,296,0.527157,0.472843,626
7763,374,306,0.550000,0.450000,680
7764,50,39,0.561798,0.438202,89
7767,1,0,1.000000,0.000000,1
7769,62,30,0.673913,0.326087,92
7770,128,61,0.677249,0.322751,189
7774,66,70,0.485294,0.514706,136
7780,25,18,0.581395,0.418605,43
7781,25,53,0.320513,0.679487,78
9489,2,5,0.285714,0.714286,7
7787,34,19,0.641509,0.358491,53
7789,96,26,0.786885,0.213115,122
7794,26,29,0.472727,0.527273,55
7799,4,8,0.333333,0.666667,12
7800,2,4,0.333333,0.666667,6
7802,29,49,0.371795,0.628205,78
7803,49,2,0.960784,0.039216,51
7805,1,3,0.250000,0.750000,4
7806,169,42,0.800948,0.199052,211
7808,125,70,0.641026,0.358974,195
7812,97,95,0.505208,0.494792,192
7815,4,2,0.666667,0.333333,6
7817,17,4,0.809524,0.190476,21
7821,1067,1224,0.465735,0.534265,2291
7822,145,93,0.609244,0.390756,238
7823,118,125,0.485597,0.514403,243
7825,1,0,1.000000,0.000000,1
7827,1,0,1.000000,0.000000,1
7833,1,2,0.333333,0.666667,3
7838,7,18,0.280000,0.720000,25
7839,1,0,1.000000,0.000000,1
7847,29,29,0.500000,0.500000,58
7848,2,0,1.000000,0.000000,2
7850,17,22,0.435897,0.564103,39
7856,4,2,0.666667,0.333333,6
7858,42,31,0.575342,0.424658,73
7869,1,0,1.000000,0.000000,1
7872,252,117,0.682927,0.317073,369
7874,2,1,0.666667,0.333333,3
7878,1,1,0.500000,0.500000,2
7882,100,213,0.319489,0.680511,313
7884,114,139,0.450593,0.549407,253
7886,2,2,0.500000,0.500000,4
7888,17,2,0.894737,0.105263,19
7889,0,1,0.000000,1.000000,1
7890,8,27,0.228571,0.771429,35
7892,1,13,0.071429,0.928571,14
7895,2,0,1.000000,0.000000,2
7896,36,21,0.631579,0.368421,57
7899,29,2,0.935484,0.064516,31
7902,11,3,0.785714,0.214286,14
7905,2,0,1.000000,0.000000,2
7906,3,1,0.750000,0.250000,4
7909,4,7,0.363636,0.636364,11
7913,2,0,1.000000,0.000000,2
7915,2,6,0.250000,0.750000,8
7916,1,2,0.333333,0.666667,3
7917,2,5,0.285714,0.714286,7
7918,2,0,1.000000,0.000000,2
7923,395,156,0.716878,0.283122,551
7924,15,22,0.405405,0.594595,37
7926,1,0,1.000000,0.000000,1
7929,2,3,0.400000,0.600000,5
7930,85,7,0.923913,0.076087,92
7933,1,0,1.000000,0.000000,1
7934,3,12,0.200000,0.800000,15
7939,113,90,0.556650,0.443350,203
7946,1,19,0.050000,0.950000,20
7948,106,48,0.688312,0.311688,154
