id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur,NumOfVotes
1002137,25,14,0.641026,0.358974,39
1000099,4,0,1.000000,0.000000,4
1002150,23,23,0.500000,0.500000,46
1002151,2,7,0.222222,0.777778,9
1000104,9,6,0.600000,0.400000,15
1000106,4,3,0.571429,0.428571,7
1000111,56,21,0.727273,0.272727,77
1000112,10,3,0.769231,0.230769,13
1000118,54,37,0.593407,0.406593,91
1000122,3,2,0.600000,0.400000,5
1000125,4,2,0.666667,0.333333,6
1000126,66,42,0.611111,0.388889,108
1000131,51,29,0.637500,0.362500,80
1000134,9,0,1.000000,0.000000,9
1000135,2,0,1.000000,0.000000,2
1000138,20,17,0.540541,0.459459,37
1000139,9,9,0.500000,0.500000,18
1000141,20,2,0.909091,0.090909,22
1000145,6,7,0.461538,0.538462,13
1000146,78,25,0.757282,0.242718,103
1002196,13,6,0.684211,0.315789,19
1002197,10,6,0.625000,0.375000,16
1000150,9,5,0.642857,0.357143,14
1000152,20,0,1.000000,0.000000,20
1002204,6,4,0.600000,0.400000,10
1000158,1,3,0.250000,0.750000,4
1002207,8,3,0.727273,0.272727,11
1000160,6,1,0.857143,0.142857,7
1000161,4,1,0.800000,0.200000,5
1000164,24,11,0.685714,0.314286,35
1000167,35,29,0.546875,0.453125,64
1000169,16,10,0.615385,0.384615,26
1002705,2,0,1.000000,0.000000,2
1000171,76,31,0.710280,0.289720,107
1000172,33,26,0.559322,0.440678,59
1000176,9,4,0.692308,0.307692,13
1000177,15,12,0.555556,0.444444,27
1000178,7,2,0.777778,0.222222,9
1000179,22,20,0.523810,0.476190,42
1000181,42,34,0.552632,0.447368,76
1000183,67,31,0.683673,0.316327,98
1000184,58,31,0.651685,0.348315,89
1000190,28,21,0.571429,0.428571,49
1002283,2,2,0.500000,0.500000,4
1000205,10,7,0.588235,0.411765,17
1000209,0,4,0.000000,1.000000,4
1000211,2,1,0.666667,0.333333,3
1000212,11,4,0.733333,0.266667,15
1000213,5,1,0.833333,0.166667,6
1000214,10,5,0.666667,0.333333,15
1000217,39,13,0.750000,0.250000,52
1000220,26,20,0.565217,0.434783,46
1000221,2,2,0.500000,0.500000,4
1002270,2,0,1.000000,0.000000,2
1000223,2,2,0.500000,0.500000,4
1000225,2,0,1.000000,0.000000,2
1000229,1,0,1.000000,0.000000,1
1000230,10,7,0.588235,0.411765,17
1000231,11,3,0.785714,0.214286,14
1000233,36,21,0.631579,0.368421,57
1002282,19,11,0.633333,0.366667,30
1000235,2,0,1.000000,0.000000,2
1002290,1,2,0.333333,0.666667,3
1000239,63,27,0.700000,0.300000,90
1000241,18,9,0.666667,0.333333,27
1000242,3,0,1.000000,0.000000,3
1000243,6,0,1.000000,0.000000,6
1002292,3,3,0.500000,0.500000,6
1002295,1,0,1.000000,0.000000,1
1000250,43,33,0.565789,0.434211,76
1000255,36,18,0.666667,0.333333,54
1000257,1,1,0.500000,0.500000,2
1000259,15,0,1.000000,0.000000,15
1000260,16,11,0.592593,0.407407,27
1000261,5,0,1.000000,0.000000,5
1002310,2,0,1.000000,0.000000,2
1000263,46,13,0.779661,0.220339,59
1000267,2,0,1.000000,0.000000,2
1000271,28,18,0.608696,0.391304,46
1000272,3,1,0.750000,0.250000,4
1000273,2,0,1.000000,0.000000,2
1000274,48,21,0.695652,0.304348,69
1000278,2,0,1.000000,0.000000,2
1000280,1,0,1.000000,0.000000,1
1002332,5,3,0.625000,0.375000,8
1000286,43,19,0.693548,0.306452,62
1002336,6,2,0.750000,0.250000,8
1000292,2,0,1.000000,0.000000,2
1001277,8,3,0.727273,0.272727,11
1000295,3,1,0.750000,0.250000,4
1002344,1,0,1.000000,0.000000,1
1000299,2,4,0.333333,0.666667,6
1000303,4,4,0.500000,0.500000,8
1000307,32,23,0.581818,0.418182,55
1000308,3,5,0.375000,0.625000,8
1002358,0,5,0.000000,1.000000,5
1002359,11,3,0.785714,0.214286,14
1000318,11,4,0.733333,0.266667,15
1000319,20,4,0.833333,0.166667,24
1002369,3,0,1.000000,0.000000,3
1000322,1,0,1.000000,0.000000,1
1000323,9,6,0.600000,0.400000,15
1000324,56,36,0.608696,0.391304,92
1002374,13,4,0.764706,0.235294,17
1000330,8,4,0.666667,0.333333,12
1000335,6,2,0.750000,0.250000,8
1000340,24,13,0.648649,0.351351,37
1000341,57,23,0.712500,0.287500,80
1000343,2,2,0.500000,0.500000,4
1002392,4,0,1.000000,0.000000,4
1000350,12,5,0.705882,0.294118,17
1002401,2,0,1.000000,0.000000,2
1000354,56,16,0.777778,0.222222,72
1000355,7,6,0.538462,0.461538,13
1000356,8,10,0.444444,0.555556,18
1000357,7,4,0.636364,0.363636,11
1000360,2,0,1.000000,0.000000,2
