id,NumOfCur,NumOfIncur,PerOfCur,PerOfIncur
1002117,5,3,0.625000,0.375000
1000070,286,255,0.528651,0.471349
1000071,65,39,0.625000,0.375000
1000073,21,16,0.567568,0.432432
1000074,33,17,0.660000,0.340000
1000075,89,59,0.601351,0.398649
1000076,9,1,0.900000,0.100000
1000077,57,56,0.504425,0.495575
1000078,16,16,0.500000,0.500000
1000079,7,5,0.583333,0.416667
1002128,49,14,0.777778,0.222222
1000082,40,12,0.769231,0.230769
1000083,79,61,0.564286,0.435714
1000084,256,161,0.613909,0.386091
1000085,303,236,0.562152,0.437848
1000086,3,3,0.500000,0.500000
1000087,2,1,0.666667,0.333333
1002136,2,2,0.500000,0.500000
1002137,25,14,0.641026,0.358974
1000090,84,61,0.579310,0.420690
1000091,586,366,0.615546,0.384454
1000092,85,51,0.625000,0.375000
1000093,245,213,0.534934,0.465066
1000094,79,59,0.572464,0.427536
1000096,208,128,0.619048,0.380952
1000097,220,145,0.602740,0.397260
1000098,462,148,0.757377,0.242623
1000099,4,0,1.000000,0.000000
1000100,410,314,0.566298,0.433702
1000101,419,270,0.608128,0.391872
1002150,23,23,0.500000,0.500000
1002151,2,7,0.222222,0.777778
1000104,9,6,0.600000,0.400000
1000105,425,354,0.545571,0.454429
1000106,4,3,0.571429,0.428571
1000108,368,264,0.582278,0.417722
1000109,220,153,0.589812,0.410188
1000110,463,273,0.629076,0.370924
1000111,56,21,0.727273,0.272727
1000112,10,3,0.769231,0.230769
1000113,136,89,0.604444,0.395556
1000116,228,143,0.614555,0.385445
1000118,54,37,0.593407,0.406593
1000119,195,132,0.596330,0.403670
1000120,991,618,0.615911,0.384089
1000121,1581,1151,0.578697,0.421303
1000122,3,2,0.600000,0.400000
1000123,97,100,0.492386,0.507614
1000124,164,145,0.530744,0.469256
1000125,4,2,0.666667,0.333333
1000126,66,42,0.611111,0.388889
1000127,526,360,0.593679,0.406321
1000128,337,279,0.547078,0.452922
1000129,118,83,0.587065,0.412935
1000130,626,396,0.612524,0.387476
1000131,51,29,0.637500,0.362500
1000132,447,333,0.573077,0.426923
1000133,188,157,0.544928,0.455072
1000134,9,0,1.000000,0.000000
1000135,2,0,1.000000,0.000000
1000136,80,67,0.544218,0.455782
1000138,20,17,0.540541,0.459459
1000139,9,9,0.500000,0.500000
1000140,464,286,0.618667,0.381333
1000141,20,2,0.909091,0.090909
1000143,204,104,0.662338,0.337662
1000144,80,70,0.533333,0.466667
1000145,6,7,0.461538,0.538462
1000146,78,25,0.757282,0.242718
1000147,149,78,0.656388,0.343612
1002196,13,6,0.684211,0.315789
1002197,10,6,0.625000,0.375000
1000150,9,5,0.642857,0.357143
1000152,20,0,1.000000,0.000000
1000153,853,479,0.640390,0.359610
1000155,644,524,0.551370,0.448630
1002204,6,4,0.600000,0.400000
1000158,1,3,0.250000,0.750000
1002207,8,3,0.727273,0.272727
1000160,6,1,0.857143,0.142857
1000161,4,1,0.800000,0.200000
1000163,71,71,0.500000,0.500000
1000164,24,11,0.685714,0.314286
1000166,196,102,0.657718,0.342282
1000167,35,29,0.546875,0.453125
1000169,16,10,0.615385,0.384615
1002705,2,0,1.000000,0.000000
1000171,76,31,0.710280,0.289720
1000172,33,26,0.559322,0.440678
1000173,227,164,0.580563,0.419437
1000174,104,56,0.650000,0.350000
1000175,223,135,0.622905,0.377095
1000176,9,4,0.692308,0.307692
1000177,15,12,0.555556,0.444444
1000178,7,2,0.777778,0.222222
1000179,22,20,0.523810,0.476190
1000181,42,34,0.552632,0.447368
1000183,67,31,0.683673,0.316327
1000184,58,31,0.651685,0.348315
1000185,175,155,0.530303,0.469697
1000186,109,62,0.637427,0.362573
1000190,28,21,0.571429,0.428571
1000193,71,58,0.550388,0.449612
1000194,84,37,0.694215,0.305785
1002283,2,2,0.500000,0.500000
1000198,80,40,0.666667,0.333333
1000199,487,328,0.597546,0.402454
1000203,162,118,0.578571,0.421429
1000205,10,7,0.588235,0.411765
1000207,95,29,0.766129,0.233871
1000209,0,4,0.000000,1.000000
1000211,2,1,0.666667,0.333333
1000212,11,4,0.733333,0.266667
1000213,5,1,0.833333,0.166667
1000214,10,5,0.666667,0.333333
1002263,225,117,0.657895,0.342105
1000216,269,221,0.548980,0.451020
1000217,39,13,0.750000,0.250000
1000219,84,49,0.631579,0.368421
1000220,26,20,0.565217,0.434783
1000221,2,2,0.500000,0.500000
1002270,2,0,1.000000,0.000000
1000223,2,2,0.500000,0.500000
1002272,306,191,0.615694,0.384306
1000225,2,0,1.000000,0.000000
1000229,1,0,1.000000,0.000000
1000230,10,7,0.588235,0.411765
1000231,11,3,0.785714,0.214286
1000232,79,47,0.626984,0.373016
1000233,36,21,0.631579,0.368421
1002282,19,11,0.633333,0.366667
1000235,2,0,1.000000,0.000000
1002290,1,2,0.333333,0.666667
1000238,103,69,0.598837,0.401163
1000239,63,27,0.700000,0.300000
1000240,81,64,0.558621,0.441379
1000241,18,9,0.666667,0.333333
1000242,3,0,1.000000,0.000000
1000243,6,0,1.000000,0.000000
1002292,3,3,0.500000,0.500000
1000245,176,117,0.600683,0.399317
1002295,1,0,1.000000,0.000000
1000248,76,64,0.542857,0.457143
1000250,43,33,0.565789,0.434211
1000251,73,55,0.570312,0.429688
1000254,144,107,0.573705,0.426295
1000255,36,18,0.666667,0.333333
1000256,86,47,0.646617,0.353383
1000257,1,1,0.500000,0.500000
1000259,15,0,1.000000,0.000000
1000260,16,11,0.592593,0.407407
1000261,5,0,1.000000,0.000000
1002310,2,0,1.000000,0.000000
1000263,46,13,0.779661,0.220339
1000264,186,153,0.548673,0.451327
1000267,2,0,1.000000,0.000000
1000270,91,40,0.694656,0.305344
1000271,28,18,0.608696,0.391304
1000272,3,1,0.750000,0.250000
1000273,2,0,1.000000,0.000000
1000274,48,21,0.695652,0.304348
1000278,2,0,1.000000,0.000000
1000280,1,0,1.000000,0.000000
1002332,5,3,0.625000,0.375000
