ReviewId,PerOfCur,PerOfIncur
1000516,0.800000,0.800000
1000525,0.700000,1.000000
1000528,0.400000,1.000000
1000530,0.800000,1.000000
1000532,0.300000,0.400000
1000534,0.600000,0.400000
1000540,0.800000,0.600000
1000548,0.700000,0.500000
1000565,0.800000,0.600000
1000566,0.700000,0.800000
1000573,0.600000,0.800000
1000577,1.000000,1.000000
1000578,0.800000,0.600000
1000592,0.800000,0.600000
1000608,0.700000,0.700000
1002657,1.000000,0.900000
1000610,0.700000,0.800000
1002694,1.000000,0.700000
1000649,1.000000,0.600000
1000661,0.600000,0.600000
1000666,1.000000,0.700000
1000681,1.000000,0.800000
1002749,0.800000,1.000000
1000708,0.900000,0.600000
1000738,0.900000,0.600000
1000739,0.900000,0.400000
1000744,0.000000,0.800000
1000748,0.800000,0.300000
1000750,0.500000,0.700000
1002377,0.900000,0.700000
1000762,0.500000,0.800000
1000765,0.900000,0.700000
1000785,0.600000,0.700000
1000809,0.700000,0.900000
1000810,0.000000,0.900000
1000818,0.500000,0.700000
1000822,0.800000,1.000000
1000823,0.700000,0.800000
1000831,0.600000,0.500000
1000833,0.700000,0.300000
1000835,0.800000,0.600000
1000843,0.700000,0.800000
1000844,0.800000,0.900000
1000856,0.600000,0.700000
1000869,0.500000,0.300000
1000870,1.000000,0.600000
1000881,0.800000,0.800000
1000901,0.800000,1.000000
1000912,0.800000,0.600000
1000934,0.800000,0.800000
1000935,0.700000,0.600000
1000936,0.200000,0.900000
1000942,0.500000,0.500000
1002068,0.800000,0.600000
1000959,0.800000,0.500000
1000971,0.600000,0.500000
1000972,1.000000,0.800000
1000973,0.200000,0.800000
1000977,0.300000,0.800000
1001001,1.000000,0.700000
1001026,0.700000,0.700000
1001032,0.400000,0.400000
1001039,0.500000,0.600000
1001040,0.200000,0.500000
1001053,0.700000,0.400000
1001058,0.300000,0.600000
1001079,0.900000,0.900000
1001080,0.800000,0.600000
1002054,0.600000,0.400000
1002093,0.700000,0.600000
1001132,0.700000,0.500000
1001133,0.300000,0.800000
1001141,0.300000,0.600000
1001143,0.500000,0.600000
1002192,0.700000,0.900000
1001156,0.500000,0.900000
1001190,0.700000,0.700000
1001195,0.800000,1.000000
1001198,0.800000,0.900000
1001211,1.000000,1.000000
1002113,0.600000,0.500000
1002116,1.000000,0.600000
1001246,0.800000,0.900000
1002122,0.700000,1.000000
1001288,0.700000,0.700000
1001100,0.700000,0.300000
1001352,0.700000,0.600000
1001377,0.700000,0.700000
1001380,0.700000,0.900000
1001382,0.500000,0.800000
1001419,0.600000,0.900000
1002065,0.800000,0.600000
1001454,0.700000,0.800000
