1000049,{graveyard}/qtbinaryjson,5,1,6,0.833333,0.166667
1000971,{graveyard}/qtbinaryjson,2,2,4,0.500000,0.500000
1000023,{graveyard}/qtbinaryjson,1,0,1,1.000000,0.000000
1000049,{graveyard}/qtphonon,17,4,21,0.809524,0.190476
1000971,{graveyard}/qtphonon,2,0,2,1.000000,0.000000
1000023,{graveyard}/qtphonon,3,2,5,0.600000,0.400000
1000049,{graveyard}/qtx11support,7,1,8,0.875000,0.125000
1000331,{graveyard}/qtx11support,5,0,5,1.000000,0.000000
1001100,{graveyard}/qtx11support,1,0,1,1.000000,0.000000
1000971,installer-framework/installer-framework,0,1,1,0.000000,1.000000
1000199,installer-framework/installer-framework,446,305,751,0.593875,0.406125
1000329,installer-framework/installer-framework,1,0,1,1.000000,0.000000
1000331,installer-framework/installer-framework,2,3,5,0.400000,0.600000
1000082,installer-framework/installer-framework,14,6,20,0.700000,0.300000
1000217,installer-framework/installer-framework,6,3,9,0.666667,0.333333
1001796,installer-framework/installer-framework,8,4,12,0.666667,0.333333
1000731,installer-framework/installer-framework,3,0,3,1.000000,0.000000
1000098,installer-framework/installer-framework,23,5,28,0.821429,0.178571
1000100,installer-framework/installer-framework,1,0,1,1.000000,0.000000
1001764,installer-framework/installer-framework,2,0,2,1.000000,0.000000
1000109,installer-framework/installer-framework,127,101,228,0.557018,0.442982
1001288,installer-framework/installer-framework,10,4,14,0.714286,0.285714
1002831,installer-framework/installer-framework,3,2,5,0.600000,0.400000
1000120,installer-framework/installer-framework,6,2,8,0.750000,0.250000
1000126,installer-framework/installer-framework,18,8,26,0.692308,0.307692
1000130,installer-framework/installer-framework,1,3,4,0.250000,0.750000
1000003,installer-framework/installer-framework,161,94,255,0.631373,0.368627
1000004,installer-framework/installer-framework,4,0,4,1.000000,0.000000
1000006,installer-framework/installer-framework,3,2,5,0.600000,0.400000
1000008,installer-framework/installer-framework,18,12,30,0.600000,0.400000
1000013,installer-framework/installer-framework,3,1,4,0.750000,0.250000
1000014,installer-framework/installer-framework,3,4,7,0.428571,0.571429
1000015,installer-framework/installer-framework,14,6,20,0.700000,0.300000
1000017,installer-framework/installer-framework,728,335,1063,0.684854,0.315146
1002838,installer-framework/installer-framework,2,1,3,0.666667,0.333333
1000023,installer-framework/installer-framework,12,7,19,0.631579,0.368421
1000025,installer-framework/installer-framework,3,1,4,0.750000,0.250000
1000026,installer-framework/installer-framework,44,34,78,0.564103,0.435897
1001295,installer-framework/installer-framework,1,0,1,1.000000,0.000000
1000286,installer-framework/installer-framework,39,19,58,0.672414,0.327586
1000681,installer-framework/installer-framework,7,2,9,0.777778,0.222222
1000173,installer-framework/installer-framework,2,0,2,1.000000,0.000000
1001454,installer-framework/installer-framework,45,20,65,0.692308,0.307692
1000049,installer-framework/installer-framework,2577,1408,3985,0.646675,0.353325
1000053,installer-framework/installer-framework,1,2,3,0.333333,0.666667
1000566,installer-framework/installer-framework,2,0,2,1.000000,0.000000
1001982,installer-framework/installer-framework,5,2,7,0.714286,0.285714
1000049,playground/alignedtimer,11,0,11,1.000000,0.000000
1000023,playground/alignedtimer,1,0,1,1.000000,0.000000
1000971,playground/mimetypes,2,0,2,1.000000,0.000000
1000049,playground/mimetypes,109,39,148,0.736486,0.263514
1000259,playground/mimetypes,11,0,11,1.000000,0.000000
1000334,playground/mimetypes,18,16,34,0.529412,0.470588
1000023,playground/mimetypes,1,0,1,1.000000,0.000000
1000097,playground/qlogger,11,10,21,0.523810,0.476190
1000004,playground/qlogger,1,2,3,0.333333,0.666667
1000023,playground/qlogger,1,0,1,1.000000,0.000000
1000971,playground/qlogger,2,0,2,1.000000,0.000000
1000049,playground/qlogger,63,17,80,0.787500,0.212500
1001431,playground/qlogger,2,1,3,0.666667,0.333333
1000250,playground/qlogger,12,6,18,0.666667,0.333333
1000049,playground/qtaudio3d,6,2,8,0.750000,0.250000
1000023,playground/qtaudio3d,1,0,1,1.000000,0.000000
1000127,playground/qtaudio3d,1,2,3,0.333333,0.666667
1000037,playground/qtbinaryjson,7,8,15,0.466667,0.533333
1000327,playground/qtbinaryjson,6,3,9,0.666667,0.333333
1000049,playground/qtbinaryjson,134,35,169,0.792899,0.207101
1000818,playground/qtbinaryjson,2,0,2,1.000000,0.000000
1000216,playground/qtbinaryjson,2,0,2,1.000000,0.000000
1000121,playground/qtbinaryjson,6,3,9,0.666667,0.333333
1000049,playground/qt-creator/plugin-gammaray,12,0,12,1.000000,0.000000
1000023,playground/qt-creator/plugin-gammaray,1,0,1,1.000000,0.000000
1000049,playground/qt-creator/plugin-scripting,142,83,225,0.631111,0.368889
1000410,playground/qt-creator/plugin-scripting,16,19,35,0.457143,0.542857
1000661,playground/qt-creator/plugin-scripting,1,0,1,1.000000,0.000000
1002433,playground/qt-creator/plugin-scripting,12,2,14,0.857143,0.142857
1000049,playground/qtdesktopcomponents,62,7,69,0.898551,0.101449
1000043,playground/qtdesktopcomponents,9,0,9,1.000000,0.000000
1000014,playground/qtdesktopcomponents,4,0,4,1.000000,0.000000
1000503,playground/qtdesktopcomponents,3,2,5,0.600000,0.400000
1000049,playground/qtjsonstream,124,70,194,0.639175,0.360825
1000818,playground/qtjsonstream,14,10,24,0.583333,0.416667
1001203,playground/qtjsonstream,8,4,12,0.666667,0.333333
1000023,playground/qtjsonstream,1,0,1,1.000000,0.000000
1000160,playground/qtprocessmanager,2,0,2,1.000000,0.000000
1000161,playground/qtprocessmanager,4,1,5,0.800000,0.200000
1000261,playground/qtprocessmanager,2,0,2,1.000000,0.000000
